City,Latitude,Longitude,Region,Country,Nwind_speed,AirQuality,WaterPollution,RealWater,wind_speed,wind_direction
Batam,1.1300779,104.0529207,Riau Islands,Indonesia,0,56.25,50,50,0,0
Singapore,1.352083,103.819836,,Singapore,10.3,65.87837838,24.204947,75.795053,1.03,0
Manado,1.4748305,124.8420794,North Sulawesi,Indonesia,10.3,50,58.33333333,41.66666667,1.03,0
Mogadishu,2.0469343,45.3181623,Banaadir,Somalia,93.6,60,57.5,42.5,9.36,204
Pematangsiantar,2.970042,99.0681668,North Sumatra,Indonesia,16.1,100,0,100,1.61,233
Kuala Lumpur,3.139003,101.686855,,Malaysia,15.4,39.43452381,65.68322981,34.31677019,1.54,300
Medan,3.5951956,98.6722227,North Sumatra,Indonesia,30.9,20.83333333,43.33333333,56.66666667,3.09,270
Binjai,3.6135482,98.5025286,North Sumatra,Indonesia,30.9,75,0,100,3.09,270
Malabo,3.7549606,8.7821344,,Equatorial Guinea,34.2,70,35,65,3.42,227
Yaounde,3.8480325,11.5020752,Centre,Cameroon,9.4,14.0625,88.63636364,11.36363636,0.94,144
Male,4.1754959,73.5093474,Kaafu Atoll,Maldives,46.3,35.57692308,87.5,12.5,4.63,250
Bangui,4.3946735,18.5581899,,Central African Republic,2.9,0,100,0,0.29,291
Bogota,4.7109886,-74.072092,,Colombia,41.2,23.35025381,48.15789474,51.84210526,4.12,280
Juba,4.859363,31.57125,,South Sudan,18.2,62.5,75,25,1.82,199
Bandar Seri Begawan,4.9030522,114.939821,Brunei-Muara District,Brunei,5.1,82.95454545,48.86363636,51.13636364,0.51,120
Abidjan,5.3599517,-4.0082563,,Cote d'Ivoire,36,6.944444444,79.41176471,20.58823529,3.6,140
Banda Aceh,5.5482904,95.3237559,Aceh,Indonesia,38,71.42857143,12.5,87.5,3.8,199
Accra,5.6037168,-0.1869644,Greater Accra Region,Ghana,30.6,20.55555556,90.78947368,9.210526316,3.06,158
Paramaribo,5.8520355,-55.2038278,Paramaribo District,Suriname,20.6,61.36363636,54.54545455,45.45454545,2.06,20
Lome,6.1256261,1.2254183,Maritime,Togo,25.7,37.5,75,25,2.57,220
Monrovia,6.3156068,-10.8073698,Montserrado County,Liberia,44.2,16.66666667,87.5,12.5,4.42,209
Lagos,6.5243793,3.3792057,Lagos,Nigeria,15.4,20.60810811,80.51470588,19.48529412,1.54,160
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Western Province,Sri Lanka,28.7,75,75,25,2.87,193
Colombo,6.9270786,79.861243,Western Province,Sri Lanka,39.5,45.13274336,62.73148148,37.26851852,3.95,203
Majuro,7.066667,171.266667,,Marshall Islands,25.7,43.75,91.66666667,8.333333333,2.57,80
Ciudad Bolivar,8.0882791,-63.5535552,Bolivar,Venezuela,47.3,100,50,50,4.73,87
Cagayan de Oro,8.4542363,124.6318977,,Philippines,22.4,62.5,100,0,2.24,194
Freetown,8.4656765,-13.2317225,Western Area,Sierra Leone,34.2,25,100,0,3.42,259
Thoothukudi,8.7641661,78.1348361,Tamil Nadu,India,45.2,50,50,50,4.52,226
Butuan,8.9475377,125.5406234,,Philippines,13.3,37.5,66.66666667,33.33333333,1.33,145
Addis Ababa,8.9806034,38.7577605,,Ethiopia,11.2,32.27272727,69.54545455,30.45454545,1.12,312
Abuja,9.0764785,7.398574,Federal Capital Territory,Nigeria,25.7,56.25,71.42857143,28.57142857,2.57,300
Conakry,9.6411855,-13.5784012,,Guinea,20.6,5,93.75,6.25,2.06,160
Kochi,9.9312328,76.2673041,Kerala,India,14,36.5625,68.40277778,31.59722222,1.4,197
Heredia,9.9981413,-84.1197643,Heredia Province,Costa Rica,36,35.71428571,50,50,3.6,250
Alajuela,10.0159394,-84.2141701,Alajuela Province,Costa Rica,36,55,50,50,3.6,250
Barquisimeto,10.0677719,-69.3473509,Lara,Venezuela,52.8,25,100,0,5.28,126
Caracas,10.4805937,-66.9036063,Capital District,Venezuela,20.6,43.359375,69.06779661,30.93220339,2.06,70
Port of Spain,10.6603196,-61.5085625,,Trinidad and Tobago,49.3,37.5,69.79166667,30.20833333,4.93,98
Bacolod,10.6840053,122.9563021,Western Visayas,Philippines,26.9,39.28571429,75,25,2.69,168
Trinidad,10.691803,-61.222503,Beni Department,Bolivia,46.3,75,50,50,4.63,130
Ho Chi Minh City,10.8230989,106.6296638,,Vietnam,20.6,12.21910112,77.76162791,22.23837209,2.06,280
Coimbatore,11.0168445,76.9558321,Tamil Nadu,India,41.2,50,65.74074074,34.25925926,4.12,90
Tacloban,11.2543388,124.9616867,,Philippines,0.8,75,70,30,0.08,333
Kozhikode,11.2587531,75.78041,Kerala,India,6.1,57.25806452,70.23809524,29.76190476,0.61,309
Erode,11.3410364,77.7171642,Tamil Nadu,India,30.7,50,61.11111111,38.88888889,3.07,227
Phnom Penh,11.5563738,104.9282099,,Cambodia,10.3,26.06382979,70.83333333,29.16666667,1.03,260
Djibouti,11.825138,42.590275,Djibouti Region,Djibouti,9.9,54.16666667,54.16666667,45.83333333,0.99,77
Da Lat,11.9404192,108.4583132,Lâm Đồng,Vietnam,11.2,62.5,54.16666667,45.83333333,1.12,312
Managua,12.1149926,-86.2361744,Managua Department,Nicaragua,0,58.33333333,76.66666667,23.33333333,0,0
N'Djamena,12.1348457,15.0557415,,Chad,20.6,41.66666667,41.66666667,58.33333333,2.06,300
