City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Yogyakarta City,-7.7955798,110.3694896,Special Region of Yogyakarta,Indonesia,Yogyakarta City Special Region of Yogyakarta Indonesia ,45.652173913,57.2916666667
Madiun,-7.6310587,111.5300159,East Java,Indonesia,Madiun East Java Indonesia ,100,6.25
Magelang,-7.4797342,110.2176941,Central Java,Indonesia,Magelang Central Java Indonesia ,100,0
Mojokerto,-7.4704747,112.4401329,East Java,Indonesia,Mojokerto East Java Indonesia ,100,0
Salatiga,-7.3305234,110.5084366,Central Java,Indonesia,Salatiga Central Java Indonesia ,83.3333333333,37.5
Surabaya,-7.2574719,112.7520883,East Java,Indonesia,Surabaya East Java Indonesia ,49.4318181818,57.7777777778
Semarang,-7.0051453,110.4381254,Central Java,Indonesia,Semarang Central Java Indonesia ,55.5555555556,47.5
Bandung,-6.9174639,107.6191228,West Java,Indonesia,Bandung West Java Indonesia ,40.3846153846,61.7021276596
Cimahi,-6.8840816,107.5413039,West Java,Indonesia,Cimahi West Java Indonesia ,58.3333333333,33.3333333333
Dar es Salaam,-6.792354,39.2083284,Dar es Salaam Region,Tanzania,Dar es Salaam Dar es Salaam Region Tanzania ,46.875,76
Bogor,-6.5517758,106.6291304,West Java,Indonesia,Bogor West Java Indonesia ,67.3076923077,52.0833333333
Depok,-6.4024844,106.7942405,West Java,Indonesia,Depok West Java Indonesia ,8.3333333333,91.6666666667
Jakarta,-6.2087634,106.845599,,Indonesia,Jakarta  Indonesia ,22.265625,77.1
Tangerang,-6.1701796,106.6403236,Banten,Indonesia,Tangerang Banten Indonesia ,45.4545454545,52.2727272727
Dodoma,-6.162959,35.7516069,Dodoma Region,Tanzania,Dodoma Dodoma Region Tanzania ,50,50
Cilegon,-6.0186516,106.0558218,Banten,Indonesia,Cilegon Banten Indonesia ,50,50
Bandar Lampung,-5.4478789,105.2652871,Lampung,Indonesia,Bandar Lampung Lampung Indonesia ,62.5,40
Makassar,-5.1476651,119.4327314,South Sulawesi,Indonesia,Makassar South Sulawesi Indonesia ,50,45
Brazzaville,-4.2633597,15.2428853,,Republic of the Congo,Brazzaville  Republic of the Congo ,37.5,62.5
Kendari,-3.9984597,122.5129742,Southeast Sulawesi,Indonesia,Kendari Southeast Sulawesi Indonesia ,100,0
Arusha,-3.3869254,36.6829927,Arusha Region,Tanzania,Arusha Arusha Region Tanzania ,91.6666666667,50
Bujumbura,-3.361378,29.3598782,Bujumbura Mairie Province,Burundi,Bujumbura Bujumbura Mairie Province Burundi ,50,75
Banjarmasin,-3.3186067,114.5943784,South Kalimantan,Indonesia,Banjarmasin South Kalimantan Indonesia ,100,0
Manaus,-3.1190275,-60.0217314,Amazonas,Brazil,Manaus Amazonas Brazil ,31.25,46.4285714286
Palembang,-2.9760735,104.7754307,South Sumatra,Indonesia,Palembang South Sumatra Indonesia ,75,0
Jayapura,-2.5916025,140.6689995,Papua,Indonesia,Jayapura Papua Indonesia ,100,12.5
Sao Luis,-2.5306721,-44.2988947,Maranhao,Brazil,Sao Luis Maranhao Brazil ,50,100
Palangkaraya,-2.2161048,113.913977,Central Kalimantan,Indonesia,Palangkaraya Central Kalimantan Indonesia ,100,0
Kigali,-1.9440727,30.0618851,Kigali province,Rwanda,Kigali Kigali province Rwanda ,56.25,50
Jambi,-1.6101229,103.6131203,Jambi,Indonesia,Jambi Jambi Indonesia ,87.5,12.5
Nairobi,-1.2920659,36.8219462,,Kenya,Nairobi  Kenya ,31.25,84.0277777778
Balikpapan,-1.2379274,116.8528526,East Kalimantan,Indonesia,Balikpapan East Kalimantan Indonesia ,72.2222222222,38.8888888889
Padang,-0.9470832,100.417181,West Sumatra,Indonesia,Padang West Sumatra Indonesia ,68.75,25
Samarinda,-0.5016166,117.1264753,East Kalimantan,Indonesia,Samarinda East Kalimantan Indonesia ,87.5,0
Quito,-0.1806532,-78.4678382,Pichincha Province,Ecuador,Quito Pichincha Province Ecuador ,35.8695652174,53.0769230769
Kampala,0.3475964,32.5825197,,Uganda,Kampala  Uganda ,19,84.0909090909
Libreville,0.4161976,9.4672676,Estuaire Province,Gabon,Libreville Estuaire Province Gabon ,37.5,87.5
Pekanbaru,0.5070677,101.4477793,Riau,Indonesia,Pekanbaru Riau Indonesia ,80,25
Tanjung Pinang,0.9185504,104.4665072,Riau Islands,Indonesia,Tanjung Pinang Riau Islands Indonesia ,0,25
Batam,1.1300779,104.0529207,Riau Islands,Indonesia,Batam Riau Islands Indonesia ,56.25,50
Singapore,1.352083,103.819836,,Singapore,Singapore  Singapore ,65.8783783784,24.2049469965
Manado,1.4748305,124.8420794,North Sulawesi,Indonesia,Manado North Sulawesi Indonesia ,50,58.3333333333
Mogadishu,2.0469343,45.3181623,Banaadir,Somalia,Mogadishu Banaadir Somalia ,60,57.5
Pematangsiantar,2.970042,99.0681668,North Sumatra,Indonesia,Pematangsiantar North Sumatra Indonesia ,100,0
Kuala Lumpur,3.139003,101.686855,,Malaysia,Kuala Lumpur  Malaysia ,39.4345238095,65.6832298137
