City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Delhi,28.7040592,77.1024902,,India,Delhi  India ,11.8441358,77.41679873,,22.58320127,34.42733707,17.21366854
Jingdezhen,29.2686899,117.1783899,Jiangxi,People's Republic of China,Jingdezhen Jiangxi People's Republic of China ,50,75,,25,75,37.5
Zigong,29.3391999,104.77844,Sichuan,People's Republic of China,Zigong Sichuan People's Republic of China ,0,50,,50,50,25
Kuwait City,29.375859,47.9774052,,Kuwait,Kuwait City  Kuwait ,35.13513514,56.89655172,,43.10344828,78.23858341,39.11929171
San Antonio,29.4251905,-98.4945922,Texas,United States of America,San Antonio Texas United States of America ,63.41463415,50.67567568,,49.32432432,112.7389585,56.36947924
Chongqing,29.5656843,106.5511838,,People's Republic of China,Chongqing  People's Republic of China ,30,63.75,,36.25,66.25,33.125
Lhasa,29.6526199,91.13775,Tibet,People's Republic of China,Lhasa Tibet People's Republic of China ,12.5,50,,50,62.5,31.25
Houston,29.7604267,-95.3698028,Texas,United States of America,Houston Texas United States of America ,45.86092715,57.09459459,,42.90540541,88.76633256,44.38316628
New Orleans,29.9510658,-90.0715323,Louisiana,United States of America,New Orleans Louisiana United States of America ,65.13157895,72.85714286,,27.14285714,92.27443609,46.13721805
Shaoxing,29.995762,120.586109,Zhejiang,People's Republic of China,Shaoxing Zhejiang People's Republic of China ,0,50,,50,50,25
Cairo,30.0444196,31.2357116,Cairo Governorate,Egypt,Cairo Cairo Governorate Egypt ,15.830721,74.35064935,,25.64935065,41.48007165,20.74003583
Panama City,30.1588129,-85.6602058,Panama Province,Panama,Panama City Panama Province Panama ,49.23076923,67.06349206,,32.93650794,82.16727717,41.08363858
Austin,30.267153,-97.7430608,Texas,United States of America,Austin Texas United States of America ,68.57142857,43.5,,56.5,125.0714286,62.53571429
Hangzhou,30.2741499,120.15515,Zhejiang,People's Republic of China,Hangzhou Zhejiang People's Republic of China ,25.69444444,62.93103448,,37.06896552,62.76340996,31.38170498
Jacksonville,30.3321838,-81.655651,Florida,United States of America,Jacksonville Florida United States of America ,75.65789474,66.21621622,,33.78378378,109.4416785,54.72083926
Tallahassee,30.4382559,-84.2807329,Florida,United States of America,Tallahassee Florida United States of America ,92.1875,41.66666667,,58.33333333,150.5208333,75.26041667
Baton Rouge,30.4514677,-91.1871466,Louisiana,United States of America,Baton Rouge Louisiana United States of America ,64.58333333,40.625,,59.375,123.9583333,61.97916667
Atletico Morelia,30.5402,70.812,Coquimbo Region,Chile,Atletico Morelia Coquimbo Region Chile ,50,50,,50,100,50
Chengdu,30.5722599,104.0665099,Sichuan,People's Republic of China,Chengdu Sichuan People's Republic of China ,22.14285714,58.87096774,,41.12903226,63.2718894,31.6359447
Wuhan,30.5927599,114.30525,Hubei,People's Republic of China,Wuhan Hubei People's Republic of China ,14.81481481,72.72727273,,27.27272727,42.08754209,21.04377104
Huzhou,30.8930499,120.08805,Zhejiang,People's Republic of China,Huzhou Zhejiang People's Republic of China ,5,100,,0,5,2.5
Alexandria,31.2000924,29.9187387,Alexandria Governorate,Egypt,Alexandria Alexandria Governorate Egypt ,41.03773585,71.2962963,,28.7037037,69.74143955,34.87071978
Alexandria,31.2000924,29.9187387,Virginia,United States of America,Alexandria Virginia United States of America ,89.0625,46.15384615,,53.84615385,142.9086538,71.45432692
Shanghai,31.230416,121.473701,,People's Republic of China,Shanghai  People's Republic of China ,25,67.58474576,,32.41525424,57.41525424,28.70762712
Beersheba,31.252973,34.791462,Southern District,Israel,Beersheba Southern District Israel ,29.16666667,21.875,,78.125,107.2916667,53.64583333
Suzhou,31.2983399,120.58319,Jiangsu,People's Republic of China,Suzhou Jiangsu People's Republic of China ,21.96969697,73.21428571,,26.78571429,48.75541126,24.37770563
Jalandhar,31.3260152,75.5761829,Punjab,India,Jalandhar Punjab India ,23.75,67.1875,,32.8125,56.5625,28.28125
Wuxi,31.4909899,120.31237,Jiangsu,People's Republic of China,Wuxi Jiangsu People's Republic of China ,12.5,87.5,,12.5,25,12.5
Lahore,31.5203696,74.3587473,Punjab,Pakistan,Lahore Punjab Pakistan ,23.41463415,75.51546392,,24.48453608,47.89917023,23.94958511
Kagoshima,31.5968539,130.5571392,Kagoshima Prefecture,Japan,Kagoshima Kagoshima Prefecture Japan ,50,50,,50,100,50
Ciudad Juarez,31.6903638,-106.4245478,Chihuahua,Mexico,Ciudad Juarez Chihuahua Mexico ,56.25,43.75,,56.25,112.5,56.25
El Paso,31.7618778,-106.4850217,Texas,United States of America,El Paso Texas United States of America ,63.75,44.64285714,,55.35714286,119.1071429,59.55357143
Jerusalem,31.768319,35.21371,Jerusalem District,Israel,Jerusalem Jerusalem District Israel ,37.09677419,42.39130435,,57.60869565,94.70546985,47.35273492
Amman,31.9539494,35.910635,Amman Governorate,Jordan,Amman Amman Governorate Jordan ,34.03846154,63.10483871,,36.89516129,70.93362283,35.46681141
Nanjing,32.0583799,118.79647,Jiangsu,People's Republic of China,Nanjing Jiangsu People's Republic of China ,26.92307692,75,,25,51.92307692,25.96153846
Benghazi,32.1194242,20.0867909,,Libya,Benghazi  Libya ,50,58.33333333,,41.66666667,91.66666667,45.83333333
Tucson,32.2226066,-110.9747108,Arizona,United States of America,Tucson Arizona United States of America ,84.27419355,39.65517241,,60.34482759,144.6190211,72.30951057
Las Cruces,32.3199396,-106.7636538,New Mexico,United States of America,Las Cruces New Mexico United States of America ,82.8125,33.33333333,,66.66666667,149.4791667,74.73958333
Montgomery,32.3792233,-86.3077368,Alabama,United States of America,Montgomery Alabama United States of America ,70.83333333,56.25,,43.75,114.5833333,57.29166667
Ulm,32.5286061,-92.0660398,Baden-Wurttemberg,Germany,Ulm Baden-Wurttemberg Germany ,88.88888889,10,,90,178.8888889,89.44444444
Isfahan,32.6538966,51.6659656,Isfahan Province,Iran,Isfahan Isfahan Province Iran ,35.15625,44,,56,91.15625,45.578125
Funchal,32.6669328,-16.9240554,Madeira,Portugal,Funchal Madeira Portugal ,84.09090909,31.94444444,,68.05555556,152.1464646,76.07323232
San Diego,32.715738,-117.1610838,California,United States of America,San Diego California United States of America ,74.38271605,52.36486486,,47.63513514,122.0178512,61.00892559
Nagasaki,32.7503334,129.8778888,Nagasaki Prefecture,Japan,Nagasaki Nagasaki Prefecture Japan ,33.33333333,66.66666667,,33.33333333,66.66666667,33.33333333
