City,Longitude,Latitude,Region,Country,AirQuality,WaterPollution
Caloocan,14.7565784,121.0449768,Metro Manila,Philippines,25,83.3333333333
Hubli,15.3647083,75.1239547,Karnataka,India,26.7857142857,69.4444444444
Sanaa,15.3694451,44.1910066,,Yemen,41.6666666667,91.6666666667
Tarlac City,15.4754786,120.5963492,,Philippines,56.25,75
Khartoum,15.5006544,32.5598994,Khartoum,Sudan,42.8571428571,78.125
Da Nang,16.0544563,108.0717219,,Vietnam,50,51.1904761905
Baguio,16.4023332,120.5960071,Cordillera Administrative Region,Philippines,26.8867924528,66.4893617021
Yangon,16.840939,96.173526,Yangon Region,Myanmar,17.5925925926,78.5
Jizan,16.8893586,42.5705674,Jazan Province,Saudi Arabia,25,100
Belmopan,17.2510114,-88.7590201,Cayo District,Belize,62.5,54.1666666667
Gulbarga,17.329731,76.8342957,,India,33.9285714286,76.9230769231
Hyderabad,17.385044,78.486671,Telangana,India,31.4925373134,70.1070336391
Najran,17.5656036,44.2289441,Najran Province,Saudi Arabia,75,25
Vientiane,17.9757058,102.6331035,Vientiane Prefecture,Laos,23.4848484848,73.3333333333
Nouakchott,18.0735299,-15.9582372,,Mauritania,43.75,37.5
Santo Domingo,18.4860575,-69.9312117,,Dominican Republic,32.5471698113,70.2830188679
Pune,18.5204303,73.8567437,Maharashtra,India,39.1078838174,71.8614718615
Port-au-Prince,18.594395,-72.3074326,Ouest,Haiti,12.5,68.75
Mumbai,19.0759837,72.8776559,Maharashtra,India,25.1602564103,75.3253796095
Mexico City,19.4326077,-99.133208,,Mexico,18.0790960452,69.5906432749
Guadalajara,20.6596988,-103.3496092,Jalisco,Mexico,43.0769230769,64.5454545455
Valladolid,20.68964,-88.2022488,Castile and Leon,Spain,70,41.6666666667
Merida,20.9673702,-89.5925857,Merida State,Venezuela,75,25
Jalgaon,21.0076578,75.5626039,Maharashtra,India,33.75,54.6875
Hanoi,21.0277644,105.8341598,,Vietnam,15.7024793388,77.3504273504
Nagpur,21.1458004,79.0881546,Maharashtra,India,46.6101694915,69.4444444444
Cancun,21.161908,-86.8515279,Quintana Roo,Mexico,75,55
Surat,21.1702401,72.8310607,Gujarat,India,46.359223301,61.9680851064
Honolulu,21.3069444,-157.8583333,Hawaii,United States of America,74.5833333333,41.5178571429
Mecca,21.3890824,39.8579118,Mecca Province,Saudi Arabia,28.5714285714,40.625
Maoming,21.6632899,110.92523,Guangdong,People's Republic of China,25,50
Rajkot,22.3038945,70.8021599,Gujarat,India,43.6046511628,58.1081081081
Vadodara,22.3071588,73.1812187,Gujarat,India,43.4579439252,65.9090909091
Jamnagar,22.4707019,70.05773,Gujarat,India,34.4827586207,58.3333333333
Shenzhen,22.5428599,114.05956,Guangdong,People's Republic of China,44.8717948718,67.0138888889
Kolkata,22.572646,88.363895,West Bengal,India,25.9345794393,68.2692307692
Foshan,23.0218499,113.12192,Guangdong,People's Republic of China,28.5714285714,50
Ahmedabad,23.022505,72.5713621,Gujarat,India,32.962962963,66.9921875
Havana,23.1135925,-82.3665956,Havana Province,Cuba,46.6666666667,50
Guangzhou,23.1290799,113.26436,Guangdong,People's Republic of China,29.3269230769,68.4782608696
Gandhinagar,23.2156354,72.6369415,Gujarat,India,87.9032258065,50
Durgapur,23.5204443,87.3119227,West Bengal,India,12.5,50
Jieyang,23.5497199,116.37271,Guangdong,People's Republic of China,12.5,50
Muscat,23.5880307,58.3828717,Muscat Governorate,Oman,65.5737704918,31.7307692308
Dhaka,23.810332,90.4125181,Dhaka Division,Bangladesh,14.9681528662,78.2534246575
Aswan,24.088938,32.8998293,Aswan Governorate,Egypt,75,25
Liuzhou,24.3255257,109.4154583,Guangxi,People's Republic of China,0,50
Abu Dhabi,24.453884,54.3773438,Emirate of Abu Dhabi,United Arab Emirates,55.9829059829,37.9901960784
Medina,24.5246542,39.5691841,Medina Province,Saudi Arabia,20,66.6666666667
Riyadh,24.7135517,46.6752957,Riyadh Province,Saudi Arabia,33.6956521739,44.5736434109
Karachi,24.8607343,67.0011364,Sindh,Pakistan,21.9696969697,83.1117021277
Taipei,25.0329636,121.5654268,,Taiwan,52.479338843,44.8717948718
Nassau,25.0443312,-77.3503609,,The Bahamas,50,59.2592592593
Fujairah,25.1288099,56.3264849,Emirate of Fujairah,United Arab Emirates,25,62.5
Dubai,25.2048493,55.2707828,Emirate of Dubai,United Arab Emirates,48.8738738739,39.8461538462
Doha,25.2854473,51.5310398,Ad Dawhah,Qatar,37.8731343284,46.1693548387
Munger,25.3707993,86.4733903,Bihar,India,100,62.5
Miami,25.7616798,-80.1917902,Florida,United States of America,70.202020202,47.3684210526
Unaizah,26.090731,43.9875457,Al-Qassim Province,Saudi Arabia,50,50
Naples,26.1420358,-81.7948103,Campania,Italy,28.8461538462,55.3191489362
Manama,26.2235305,50.5875935,Capital Governorate,Bahrain,40.2777777778,46.7741935484
Boca Raton,26.3683064,-80.1289321,Florida,United States of America,94.2307692308,34.6153846154
Biratnagar,26.4524746,87.271781,Province No. 1,Nepal,40,50
Siliguri,26.7271012,88.3952861,West Bengal,India,40,67
Dharan,26.806496,87.2846262,Province No. 1,Nepal,75,50
Asyut,27.1783117,31.1859257,Asyut Governorate,Egypt,50,25
Hetauda,27.4367653,85.0025539,Bagmati,Nepal,53.5714285714,83.3333333333
Thimphu,27.4712216,89.6339041,Thimphu District,Bhutan,44.6428571429,60
Laredo,27.5035613,-99.5075519,Texas,United States of America,0,100
Sikar,27.6093912,75.1397935,Rajasthan,India,58.3333333333,87.5
Lalitpur,27.6587525,85.3247183,Bagmati,Nepal,20.4545454545,65
Butwal,27.6865838,83.4322634,,Nepal,75,53.125
Kathmandu,27.7172453,85.3239605,Bagmati,Nepal,11.4634146341,80.4568527919
Zunyi,27.7254499,106.92723,Guizhou,People's Republic of China,0,50
Wenzhou,27.9949199,120.69939,Zhejiang,People's Republic of China,10,75
Pokhara,28.2095831,83.9855674,,Nepal,65.4761904762,71.4285714286
Valencia,28.5210228,-81.4656363,Community of Valencia,Spain,59.6590909091,38.4146341463
Delhi,28.7040592,77.1024902,,India,11.8441358025,77.4167987322
Jingdezhen,29.2686899,117.1783899,Jiangxi,People's Republic of China,50,75
Zigong,29.3391999,104.77844,Sichuan,People's Republic of China,0,50
Kuwait City,29.375859,47.9774052,,Kuwait,35.1351351351,56.8965517241
San Antonio,29.4251905,-98.4945922,Texas,United States of America,63.4146341463,50.6756756757
Chongqing,29.5656843,106.5511838,,People's Republic of China,30,63.75
Lhasa,29.6526199,91.13775,Tibet,People's Republic of China,12.5,50
Houston,29.7604267,-95.3698028,Texas,United States of America,45.8609271523,57.0945945946
New Orleans,29.9510658,-90.0715323,Louisiana,United States of America,65.1315789474,72.8571428571
Shaoxing,29.995762,120.586109,Zhejiang,People's Republic of China,0,50
Cairo,30.0444196,31.2357116,Cairo Governorate,Egypt,15.8307210031,74.3506493506
Panama City,30.1588129,-85.6602058,Panama Province,Panama,49.2307692308,67.0634920635
Austin,30.267153,-97.7430608,Texas,United States of America,68.5714285714,43.5
Hangzhou,30.2741499,120.15515,Zhejiang,People's Republic of China,25.6944444444,62.9310344828
Jacksonville,30.3321838,-81.655651,Florida,United States of America,75.6578947368,66.2162162162
Tallahassee,30.4382559,-84.2807329,Florida,United States of America,92.1875,41.6666666667
Baton Rouge,30.4514677,-91.1871466,Louisiana,United States of America,64.5833333333,40.625
Atletico Morelia,30.5402,70.812,Coquimbo Region,Chile,50,50
Chengdu,30.5722599,104.0665099,Sichuan,People's Republic of China,22.1428571429,58.8709677419
Wuhan,30.5927599,114.30525,Hubei,People's Republic of China,14.8148148148,72.7272727273
Huzhou,30.8930499,120.08805,Zhejiang,People's Republic of China,5,100
Alexandria,31.2000924,29.9187387,Alexandria Governorate,Egypt,41.0377358491,71.2962962963
Alexandria,31.2000924,29.9187387,Virginia,United States of America,89.0625,46.1538461538
Shanghai,31.230416,121.473701,,People's Republic of China,25,67.5847457627
Beersheba,31.252973,34.791462,Southern District,Israel,29.1666666667,21.875
Suzhou,31.2983399,120.58319,Jiangsu,People's Republic of China,21.9696969697,73.2142857143
Jalandhar,31.3260152,75.5761829,Punjab,India,23.75,67.1875
Wuxi,31.4909899,120.31237,Jiangsu,People's Republic of China,12.5,87.5
Lahore,31.5203696,74.3587473,Punjab,Pakistan,23.4146341463,75.5154639175
Kagoshima,31.5968539,130.5571392,Kagoshima Prefecture,Japan,50,50
Ciudad Juarez,31.6903638,-106.4245478,Chihuahua,Mexico,56.25,43.75
El Paso,31.7618778,-106.4850217,Texas,United States of America,63.75,44.6428571429
Jerusalem,31.768319,35.21371,Jerusalem District,Israel,37.0967741935,42.3913043478
Amman,31.9539494,35.910635,Amman Governorate,Jordan,34.0384615385,63.1048387097
Nanjing,32.0583799,118.79647,Jiangsu,People's Republic of China,26.9230769231,75
Benghazi,32.1194242,20.0867909,,Libya,50,58.3333333333
Tucson,32.2226066,-110.9747108,Arizona,United States of America,84.2741935484,39.6551724138
Las Cruces,32.3199396,-106.7636538,New Mexico,United States of America,82.8125,33.3333333333
Montgomery,32.3792233,-86.3077368,Alabama,United States of America,70.8333333333,56.25
Ulm,32.5286061,-92.0660398,Baden-Wurttemberg,Germany,88.8888888889,10
Isfahan,32.6538966,51.6659656,Isfahan Province,Iran,35.15625,44
Funchal,32.6669328,-16.9240554,Madeira,Portugal,84.0909090909,31.9444444444
San Diego,32.715738,-117.1610838,California,United States of America,74.3827160494,52.3648648649
Nagasaki,32.7503334,129.8778888,Nagasaki Prefecture,Japan,33.3333333333,66.6666666667
Fort Worth,32.7554883,-97.3307658,Texas,United States of America,47.7272727273,51.1363636364
Dallas,32.7766642,-96.7969879,Texas,United States of America,63.3802816901,42.6923076923
Haifa,32.7940463,34.989571,Haifa District,Israel,17.96875,54.6296296296
Tripoli,32.8872094,13.1913383,,Libya,54.6296296296,68.5185185185
Keller,32.9341893,-97.229298,Texas,United States of America,66.6666666667,25
Allen,33.1031744,-96.6705503,Texas,United States of America,75,12.5
Phoenix,33.4483771,-112.0740373,Arizona,United States of America,44.2934782609,47.6470588235
Augusta,33.4734978,-82.0105148,Maine,United States of America,50,100
Jeju,33.4996213,126.5311884,Jeju Province,South Korea,50,60.7142857143
Birmingham,33.5185892,-86.8103567,England,United Kingdom,52.9761904762,25.641025641
Casablanca,33.5731104,-7.5898434,Casablanca-Settat,Morocco,22.6744186047,60.5769230769
Fukuoka,33.5901838,130.4016888,Fukuoka Prefecture,Japan,56.25,40.625
Huntington Beach,33.6594835,-117.9988026,California,United States of America,85.7142857143,65.625
Islamabad,33.6844202,73.0478848,Islamabad Capital Territory,Pakistan,67.4180327869,51.3274336283
Atlanta,33.7489954,-84.3879824,Georgia,United States of America,59.6875,46.5753424658
Long Beach,33.7700504,-118.1937395,California,United States of America,50,32.6923076923
Aley,33.8069031,35.6024366,Mount Lebanon Governorate,Lebanon,75,100
Beirut,33.8937913,35.5017767,Beirut Governorate,Lebanon,16.9642857143,81.8037974684
